Produto,Categoria,Quantidade,Preco_Unitario
Teclado Mecânico,Periféricos,15,250.00
Mouse Gamer,Periféricos,0,180.00
Monitor 24pol,Hardware,5,1200.00
Headset USB,Periféricos,10,350.00
Placa de Vídeo,Hardware,2,3500.00
Memória RAM 16GB,Hardware,0,450.00
SSD 1TB,Hardware,8,600.00
Webcam Full HD,Periféricos,12,280.00
Cadeira Gamer,Móveis,3,1500.00
Mesa de Escritório,Móveis,0,850.00
Cabo HDMI 2m,Acessórios,25,45.00
Suporte Monitor,Acessórios,7,120.00
Gabinete ATX,Hardware,4,400.00
Fonte 650W,Hardware,0,550.00
Cooler Fan,Hardware,20,60.00
Pendrive 64GB,Acessórios,50,40.00
Hub USB-C,Acessórios,0,150.00
Processador i7,Hardware,3,2100.00
Pasta Térmica,Hardware,15,35.00
Tapete Mouse Pad,Periféricos,10,80.00
